emp_no,first_name,last_name,dept_no,dept_name
10053,Sanjiv,Zschoche,d007,Sales
10088,Jungsoon,Syrzycki,d007,Sales
10215,Xiaobin,Duclos,d007,Sales
10355,Satyanarayana,Cochrane,d007,Sales
10463,Ung,Zaiane,d007,Sales
10504,Xiong,Varker,d007,Sales
10548,Ramalingam,Gunderson,d007,Sales
10767,Monique,Doering,d007,Sales
10795,Supot,Naudin,d007,Sales
10836,Jianhua,Leivant,d007,Sales
10878,Lakshmi,Deville,d007,Sales
10924,Hironoby,Atchley,d007,Sales
10965,Eckart,Braunschweig,d007,Sales
11009,Alper,Axelband,d007,Sales
11048,Jaques,Demke,d007,Sales
11146,Ishfaq,Masand,d007,Sales
11197,Tadahiro,Fordan,d007,Sales
11338,Kwangsub,Hanratty,d007,Sales
11441,Marlo,Aingworth,d007,Sales
11506,Rance,Picel,d007,Sales
11515,Ulf,Basawa,d007,Sales
11537,DAIDA,Pehl,d007,Sales
11567,Teiji,Mitzlaff,d007,Sales
11615,Shem,Isaak,d007,Sales
11660,Gill,Stenning,d007,Sales
11696,Dante,Rothe,d007,Sales
11746,Koichi,Marrakchi,d007,Sales
11797,Chenxi,Thambidurai,d007,Sales
11817,Niranjan,Markovitch,d007,Sales
11857,Divier,Farrag,d007,Sales
11897,Cordelia,Setlzner,d007,Sales
12011,Zhilian,Coorg,d007,Sales
12036,Mads,Ratzlaff,d007,Sales
12076,Karlis,Siprelle,d007,Sales
12082,Xinan,Yamaashi,d007,Sales
12099,Nobuyoshi,Kuzuoka,d007,Sales
12149,Suebskul,Grandbois,d007,Sales
12373,Mooi,Driscoll,d007,Sales
12399,Mihalis,Luga,d007,Sales
12411,Shao,Ibel,d007,Sales
12454,Kerryn,Farris,d007,Sales
12464,Shai,Milicic,d007,Sales
12497,Stein,Penz,d007,Sales
12541,Shih,Nanard,d007,Sales
12651,Pragnesh,Bael,d007,Sales
12664,Zhonghua,Parveen,d007,Sales
12732,Mara,Takanami,d007,Sales
12790,Gunilla,Perl,d007,Sales
12798,Lillian,Beeson,d007,Sales
12803,Gad,Boissier,d007,Sales
12872,Marl,Schmittgen,d007,Sales
12890,Neven,Casley,d007,Sales
12893,Licheng,Crouzet,d007,Sales
13075,Rosella,Morrin,d007,Sales
13124,Quingbo,Garnick,d007,Sales
13146,Haldon,Erie,d007,Sales
13147,Shichao,Ginesta,d007,Sales
13173,Arve,Horswill,d007,Sales
13179,Moty,Janocha,d007,Sales
13186,Kyoichi,Barbanera,d007,Sales
13210,Jianhua,Klassen,d007,Sales
13213,Hein,Billawala,d007,Sales
13238,Ebru,Foote,d007,Sales
13392,Fumitake,Beidas,d007,Sales
13405,Randy,Baba,d007,Sales
13524,Chaoyi,Porotnikoff,d007,Sales
13605,Dmitry,Encarnacion,d007,Sales
13680,Denny,Speer,d007,Sales
13721,Sugwoo,Delgrossi,d007,Sales
